Voltage (V),Current (A)
-0.5998859999999999,0.05599975200000001
-0.590007,0.0
-0.580127,0.0
-0.570248,0.0
-0.560368,0.0
-0.550488,0.0
-0.540609,0.0
-0.530729,0.005599975
-0.5208499999999999,0.0
-0.5109699999999999,0.0
-0.501091,0.0
-0.49121099999999995,0.0
-0.481332,0.0
-0.471452,-0.001399992
-0.461572,-0.002799985
-0.45169299999999996,-0.0034999840000000003
-0.44181299999999996,-0.004899977000000001
-0.431934,-0.00629997
-0.422054,-0.009799957
-0.41217499999999996,0.06684970400000001
-0.40229499999999996,0.148749
-0.39241499999999996,0.185135
-0.382536,0.11384699999999999
-0.372656,0.04054382
-0.36277699999999996,-0.003247986
-0.35289699999999996,-0.003751985
-0.343018,-0.004479978
-0.333138,-0.005319978
-0.32325899999999996,-0.006383973
-0.31337899999999996,-0.007615966
-0.30349899999999996,-0.008007965
-0.29362,0.005655973000000001
-0.28374,0.075711664
-0.27386099999999997,0.09167159200000001
-0.26398099999999997,0.135351
-0.254102,0.105167
-0.244222,0.08063964800000001
-0.234343,0.038415832000000004
-0.224463,-0.0026879900000000003
-0.214583,-0.00285599
-0.204704,-0.002967986
-0.194824,-0.0033039880000000003
-0.184945,-0.003583988
-0.175065,-0.004199978
-0.165186,-0.000280003
-0.155306,0.06451172000000001
-0.145427,0.065631704
-0.135547,0.051855768000000003
-0.125667,0.014335938000000001
-0.11578799999999999,0.060591732
-0.105908,0.06311172400000001
-0.096029296,0.06378372
-0.086149736,-0.002239993
-0.07627017600000001,-0.0025199890000000003
-0.06639062800000001,-0.0026879900000000003
-0.056511068000000005,-0.003079982
-0.046631512,-0.0037519780000000004
-0.036751952000000004,-0.001623995
-0.026872396000000003,0.06428771200000001
-0.016992840000000002,0.06557571200000001
-0.007113281000000001,0.057007748000000004
0.0027662760000000002,-0.004759982
0.012645833,-0.0022400000000000002
0.022525390000000003,0.071063688
0.032404948,0.075823664
0.042284504,0.077447656
0.052164064,0.0017919950000000002
0.06204362,-0.0026319850000000003
0.071923176,-0.0031359870000000002
0.081802736,-0.003807983
0.09168229600000001,-0.001847993
0.101561,0.07061568800000001
0.111441,0.069775696
0.12132,0.066583712
0.13119999999999998,-0.004535976000000001
0.14107999999999998,-0.005991978
0.15095899999999998,-0.0049279680000000005
0.16083899999999998,0.064959716
0.17071799999999998,0.08063964
0.18059799999999998,0.084055632
0.19047699999999998,0.02491989
0.20035699999999998,-0.003527979
0.21023599999999998,-0.004591981
0.22011599999999998,-0.0033039880000000003
0.22999599999999998,0.07408767200000001
0.23987499999999998,0.087415608
0.24975499999999998,0.07643965600000001
0.259634,-0.000279996
0.269514,-0.0036959870000000004
0.279393,-0.0044239810000000004
0.289273,-0.005935973000000001
0.299152,0.021783896
0.309032,0.062719724
0.318912,0.062271724
0.328791,0.037127832
0.338671,-0.005991978
0.34854999999999997,-0.008623963
0.35842999999999997,0.06322372
0.368309,0.08461563200000001
0.378189,0.07324768000000001
0.38806799999999997,-0.002239993
0.39794799999999997,-0.0026319850000000003
0.40782799999999997,-0.002967986
0.417707,-0.0035279860000000003
0.427587,-0.004479978
0.43746599999999997,0.017639926
0.44734599999999997,0.055719756
0.457225,0.051071772
0.467105,0.052975764
0.47698399999999996,0.051141774
0.48686399999999996,0.049727784000000004
0.49674399999999996,0.050791776000000004
