Voltage (V),Current (A)
-0.50017,13.439938999999999
-0.489963,11.3399495
-0.479755,10.051955
-0.469548,9.085958999999999
-0.45934,8.3579625
-0.449133,7.6859655
-0.438925,7.069967999999999
-0.428717,6.60797
-0.41851,6.152972
-0.408302,5.729474
-0.398095,5.3969755
-0.387887,5.092477000000001
-0.37768,4.7844785000000005
-0.367472,4.5237295
-0.357264,4.32773
-0.347057,4.126481
-0.336849,3.923482
-0.326642,3.8036075
-0.316434,3.678483
-0.306227,3.5419834999999997
-0.296019,3.462359
-0.285811,3.3958595000000003
-0.275604,3.314485
-0.265396,3.2436105
-0.255189,3.2226105
-0.244981,3.1858605
-0.234774,3.1342355
-0.224566,3.1421105000000003
-0.214358,3.1386105
-0.204151,3.1123605
-0.193943,3.1193605
-0.183736,3.1482355
-0.173528,3.1517355
-0.163321,3.1674854999999997
-0.153113,3.2296105
-0.142905,3.2777345
-0.132698,3.3101095
-0.12249,3.4229845
-0.112283,3.5533585
-0.102075,3.6828575
-0.091868136,3.8771075
-0.08166056,4.148356
-0.071452992,4.428355
-0.06124542,4.7398535
-0.051037852,5.175602
-0.04083028,5.5956
-0.03062271,5.964848
-0.02041514,6.407596
-0.01020757,6.8127189999999995
0.0,7.102342999999999
0.01020757,7.369217
0.02041514,7.6632155
0.03062271,7.8399645
0.04083028,7.9029644999999995
0.051037852,8.102463
0.06124542,8.192588
0.071452992,8.161088
0.08166056,8.196963
0.091868136,8.201338
0.102075,8.0753385
0.112283,7.895089
0.12249,7.77609
0.132698,7.538091
0.142905,7.209092
0.153113,7.013093
0.163321,6.789094
0.173528,6.553283499999999
0.183736,6.4145959999999995
0.193943,6.383096
0.204151,6.3607835
0.214358,6.3782835
0.224566,6.533158
0.234774,6.661782
0.244981,6.7374695
0.255189,6.940030999999999
0.265396,7.1268425
0.275604,7.2519670000000005
0.285811,7.424341
0.296019,7.6728404999999995
0.306227,7.854839
0.316434,7.9904645
0.326642,8.2914625
0.336849,8.5373365
0.347057,8.7027105
0.357264,8.9897095
0.367472,9.2924585
0.37768,9.499832
0.387887,9.7273315
0.398095,10.07208
0.408302,10.3258285
0.41851,10.466702999999999
0.428717,10.853451
0.438925,11.161449999999999
0.449133,11.365324000000001
0.45934,11.7039475
0.469548,12.1344455
0.479755,12.4914435
0.489963,12.879942499999999
0.50017,13.5746885
